============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ni (28)   Ion Mass= 057.9400
Energy  = 2500000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=700000.E-01 A
  Layer # 1 - Density =0008.8955 g/cm3
  Layer # 1 -  100 % of Ni
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000206   4.0138E+04  1.5783E+03 -3.7057E+03
0000207   4.1272E+04 -8.0280E+03 -1.6491E+03
0000208   3.7923E+04  8.0832E+03 -4.8095E+03
0000209   3.5331E+04 -1.1846E+04  1.0867E+03
0000210   3.8016E+04 -7.8550E+02  5.0995E+03
0000211   4.1597E+04 -2.8820E+03  1.2985E+02
0000212   3.5501E+04 -3.4346E+03  9.6016E+03
0000213   4.2613E+04 -4.4970E+03  4.8823E+03
0000214   3.7970E+04  1.4434E+03  1.1491E+03
0000215   4.1506E+04  6.7963E+03  8.6654E+03
0000216   3.7960E+04 -4.9022E+01 -1.5965E+03
0000217   3.4678E+04 -3.9767E+02 -2.4639E+03
0000218   4.0446E+04  2.2694E+03  9.9439E+03
0000219   3.2428E+04  4.9596E+03  3.4120E+02
0000220   4.1552E+04  4.4749E+03 -7.0720E+03
0000221   3.7769E+04 -5.2141E+03  9.2776E+03
0000222   4.0586E+04  5.8837E+02  1.1993E+04
0000223   4.0205E+04  3.7641E+03  6.4286E+03
0000224   3.8871E+04  1.0572E+04  2.3614E+03
0000225   3.7043E+04  4.0225E+03  1.8355E+02
0000226   2.9842E+04  2.9469E+03 -5.2410E+02
0000227   3.9875E+04  4.6954E+02  7.2374E+03
0000228   3.7770E+04 -3.4794E+03 -5.7631E+03
0000229   3.6137E+04  4.2809E+03  1.8350E+04
0000230   3.0945E+04  5.9589E+03  4.0282E+03
0000231   3.8371E+04  3.7540E+03  9.7764E+02
0000232   4.0704E+04 -2.3489E+03 -1.0680E+04
0000233   3.9492E+04  1.8037E+03  5.1197E+03
0000234   3.8921E+04  2.9580E+03 -6.2490E+03
0000235   3.2376E+04  2.7371E+03 -8.5017E+03
0000236   4.0705E+04 -6.2659E+03  8.2948E+03
0000237   3.6533E+04 -2.8163E+03 -7.2154E+03
0000238   3.8896E+04 -7.4147E+03 -2.5907E+03
0000239   4.0169E+04  1.9330E+03  1.2759E+03
0000240   3.5615E+04 -3.2441E+03 -3.5337E+03
0000241   3.7574E+04 -2.7531E+03  3.2312E+03
0000242   3.9773E+04  2.4876E+02  1.2054E+03
0000243   3.8514E+04 -1.9242E+03 -4.5270E+03
0000244   3.6384E+04 -7.2169E+03 -1.6737E+03
0000245   4.2661E+04 -2.4365E+03  2.3694E+03
0000246   4.0053E+04 -1.0909E+03 -9.0429E+03
0000247   4.1165E+04  5.3660E+03  4.3805E+03
0000248   3.8460E+04  2.0110E+03  2.3175E+03
0000249   4.2781E+04 -3.2056E+03 -1.3398E+03
0000250   3.7492E+04 -6.0581E+03  7.2770E+03
0000251   4.3494E+04 -3.7626E+03  3.4972E+03
0000252   3.6133E+04 -1.6829E+02 -4.7872E+02
0000253   2.7402E+04 -8.0480E+03 -4.9614E+03
0000254   3.7264E+04  3.2473E+02  8.5922E+03
0000255   3.5652E+04  1.5528E+04  7.2288E+02
0000256   4.2244E+04  2.9915E+03 -4.5964E+03
0000257   3.8249E+04 -6.2603E+03  7.9338E+03
0000258   4.0447E+04 -5.5440E+03  3.0758E+03
0000259   3.3562E+04 -3.6887E+03 -5.0344E+03
0000260   3.8638E+04 -3.4215E+03 -3.6412E+03
0000261   3.8368E+04  8.5562E+03 -3.9058E+02
0000262   3.2367E+04 -4.8135E+02 -3.6669E+03
0000263   4.2526E+04 -4.1165E+03 -3.8633E+03
0000264   4.0967E+04 -3.3732E+03 -1.2514E+02
0000265   4.1886E+04  4.9526E+03  6.2543E+03
0000266   4.0963E+04 -6.5371E+02  1.0260E+04
0000267   3.7448E+04 -8.9646E+03  2.2300E+03
0000268   4.3174E+04  4.1018E+03 -1.0110E+04
0000269   3.2371E+04  1.1116E+04 -8.5869E+03
0000270   4.0544E+04 -6.2050E+03 -5.3938E+03
0000271   3.3842E+04  2.4916E+03 -7.5951E+03
0000272   3.9830E+04 -3.6436E+03  2.7385E+03
0000273   3.5720E+04 -1.5051E+04 -2.8179E+03
0000274   3.6050E+04 -4.3347E+03 -5.8804E+02
0000275   4.2845E+04 -5.5884E+02 -6.2684E+03
0000276   3.6061E+04  4.5779E+03  7.0470E+03
0000277   4.0713E+04  8.3787E+03 -6.2756E+03
0000278   3.7845E+04  1.2139E+03  3.7193E+03
0000279   4.1388E+04  8.2532E+03 -3.6820E+03
0000280   4.2229E+04  5.4707E+03  4.8733E+02
0000281   4.4479E+04  6.7513E+03  1.7652E+03
0000282   4.0125E+04 -5.4887E+03  7.2829E+02
0000283   4.1834E+04  7.6666E+03 -2.8486E+03
0000284   3.7594E+04  4.2365E+03 -2.5277E+03
0000285   3.9230E+04 -2.3291E+03  8.3209E+03
0000286   3.7256E+04 -1.0592E+04 -3.5918E+03
0000287   4.1928E+04 -9.2402E+02  8.4993E+02
0000288   3.3177E+04  7.2654E+03 -1.9342E+03
0000289   3.7323E+04  5.4876E+03 -1.1032E+03
0000290   3.5142E+04  1.6303E+03 -4.9713E+02
0000291   1.9749E+04 -1.3495E+02 -1.1932E+04
0000292   4.0536E+04  2.8777E+03  6.8978E+02
0000293   4.0675E+04 -6.0783E+02 -6.7877E+03
0000294   3.3526E+04 -9.5998E+03  2.4669E+02
0000295   3.6085E+04 -6.4743E+03  5.1426E+03
0000296   3.7614E+04  9.7688E+03 -8.3998E+03
0000297   3.8976E+04  1.4843E+03  8.7976E+03
0000298   3.9379E+04  1.0216E+04  8.4212E+02
0000299   3.7122E+04 -1.7882E+03  9.7462E+03
0000300   3.4242E+04  1.4950E+03 -2.1270E+03
0000301   4.2556E+04 -1.5233E+03 -5.8776E+03
0000302   2.9963E+04  1.0453E+04  1.1550E+04
0000303   3.8199E+04 -5.1288E+03 -4.9104E+02
0000304   4.0959E+04 -4.5985E+03 -7.2954E+03
0000305   3.8105E+04  1.1991E+03  5.3058E+03
0000306   4.0689E+04  3.5033E+03 -1.4732E+03
0000307   3.6881E+04  4.5254E+03  9.1685E+02
0000308   3.3426E+04 -3.3549E+03 -7.3034E+02
0000309   4.2250E+04  1.5992E+02  2.2665E+02
0000310   2.9908E+04 -4.8874E+03 -5.1443E+03
0000311   3.1261E+04  1.6280E+04 -2.1697E+03
0000312   3.8882E+04 -3.6649E+03  1.3432E+03
0000313   3.6100E+04 -1.1742E+04  2.3739E+02
0000314   3.6931E+04  1.7105E+03  5.9248E+03
0000315   3.8045E+04 -2.8176E+03 -8.4687E+02
0000316   3.6145E+04  6.3046E+03 -4.9204E+03
0000317   4.1293E+04 -6.9148E+03  3.9316E+02
0000318   4.0973E+04  1.0269E+03  8.2574E+03
